type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/ID,properties/INDEX_PARC,properties/NOM,properties/ARROND,properties/TYPE
Feature,Point,-73.5759730857,45.5159341678,1,003-0058,1139-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
Feature,Point,-73.571888408,45.5126508458,2,003-0065,0900-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
Feature,Point,-73.5835247347,45.5193580277,3,001-0007,0306-000,Arbri soleil,Le Plateau-Mont-Royal,Plein air
Feature,Point,-73.5779767202,45.5108503559,4,003-0053,0664-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
Feature,Point,-73.7047685949,45.5083258019,5,073-0003,2812-000,Soccer à 11,Saint-Laurent,Sportif
Feature,Point,-73.5794582246,45.5194148975,6,003-0046,0307-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
Feature,Point,-73.5511042831,45.6631449932,7,075-0080,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5625827673,45.6628174298,8,001-0025,0976-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.5512608681,45.6633962205,9,075-0079,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5977771626,45.6442933459,10,001-0026,0967-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.5966977878,45.6389930755,11,001-0027,0961-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.5966367749,45.6390383621,12,042-0149,0961-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.4998855118,45.6499344451,13,049-0030,0699-000,Pastille - Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.5010227218,45.6509557944,14,072-0033,0699-000,Anneau / Rond de glace,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5880947252,45.6448936239,15,065-0017,0970-000,Patinoire 4 saisons,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.4783572566,45.7020940296,16,003-0510,0714-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.492481996,45.667161342,17,032-0012,0704-000,Fer / Galet,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5951995471,45.6298947463,18,001-0028,0916-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.635977772,45.5684403974,19,073-0029-76-S1,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6354264154,45.5682110587,20,073-0029-76-S2,0950-001,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6447657024,45.4603233921,21,073-0057-76-S1,0157-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
Feature,Point,-73.5625212455,45.6627209346,22,042-0148,0976-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.637917247,45.5990909014,23,003-0429,1860-014,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
Feature,Point,-73.5754094291,45.6467362934,24,042-0150,0904-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.537512882,45.6738336333,25,003-0511,,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.5876981367,45.4703787339,26,012-0022,0282-000,Aire d'entraînement pour adultes,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.6547877363,45.5710723543,27,004-0065,0023-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
Feature,Point,-73.6226071732,45.4172853587,28,081-0064,2456-000,Tennis,LaSalle,Sportif
Feature,Point,-73.5845827881,45.6500959537,29,042-0152,0986-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.4914870964,45.63610045,30,012-0061,0705-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5748689962,45.6350214974,31,013-0050,0971-000,Aire d'exercice canin,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5957781049,45.6247216477,32,012-0060,1262-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5929749779,45.6472595298,33,012-0062,0984-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5930110012,45.6474904357,34,020-0024,0984-000,Belvédère,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5944057306,45.6270317158,35,062-0005,0978-000,Plancher de danse,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5716762092,45.6606702374,36,012-0063,0995-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5712196364,45.6607395651,37,001-0029,0995-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.6073668376,45.5894669523,38,095-0104,2858-000,Pétanque,Saint-Léonard,Loisirs et détente
Feature,Point,-73.5959687463,45.4494784501,39,095-0102,0343-000,Pétanque,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.5535701052,45.5345720738,40,095-0106,0252-000,Pétanque,Ville-Marie,Loisirs et détente
Feature,Point,-73.5000211827,45.6407824112,41,062-0004,0679-000,Plancher de danse,Rosemont-La Petite-Patrie,Loisirs et détente
Feature,Point,-73.6041238374,45.4543969764,42,095-0103,0345-000,Pétanque,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.5846861736,45.6314612259,43,076-0157,0969-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5836548011,45.6318945576,44,075-0083,0969-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.4947288929,45.6831984357,45,075-0082,1083-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.4950601654,45.6832517888,46,075-0081,1083-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5043973509,45.6795983847,47,053-0078,1122-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.4998892225,45.6595882848,48,042-0151,0866-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.5092767269,45.6405773666,49,042-0153,0986-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.8883629076,45.4951810773,50,056-0014,9502-000,Piste cyclable,L'Île-Bizard-Sainte-Geneviève,Plein air
Feature,Point,-73.7073397846,45.5293425656,51,073-0012-76-S1,0459-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.5689682546,45.5268402947,52,095-0107,0061-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
Feature,Point,-73.7238309121,45.5023095199,53,002-0007,2826-000,Aire de glissade,Saint-Laurent,Loisirs et détente
Feature,Point,-73.488109172,45.6402349287,54,053-0090,1140-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.5985583202,45.5681320818,55,009-0060,0942-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
Feature,Point,-73.5991011842,45.5681040719,56,042-0154,0942-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
Feature,Point,-73.5986505348,45.5680149232,57,003-0165,0942-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.5987920364,45.5678027589,58,009-0059,0942-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
Feature,Point,-73.5971578272,45.5547202804,59,009-0061,0947-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
Feature,Point,-73.5838051234,45.6033257486,60,032-0020,2010-000,Fer / Galet,Anjou,Loisirs et détente
Feature,Point,-73.5777023815,45.4564162521,61,003-0305,2924-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
Feature,Point,-73.6765441848,45.5505078419,62,053-0013,0015-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
Feature,Point,-73.599259658,45.5684046539,63,012-0064,0942-000,Aire d'entraînement pour adultes,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
Feature,Point,-73.5472546962,45.6185989534,64,073-0104-76-S2,1267-000,Soccer sous-terrain à 7,Anjou,Sportif
Feature,Point,-73.7173677523,45.5058720672,65,073-0001-76-S2,2826-000,Soccer sous-terrain à 7,Saint-Laurent,Sportif
Feature,Point,-73.5890004436,45.5328791717,66,073-0009-76-S1,0236-000,Soccer sous-terrain à 7,Le Plateau-Mont-Royal,Sportif
Feature,Point,-73.706824458,45.5290184906,67,073-0012-76-S2,0459-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.6411258469,45.5749756107,68,073-0013-76-S1,0025-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.5886365919,45.5332659036,69,073-0009-76-S2,0236-000,Soccer sous-terrain à 7,Le Plateau-Mont-Royal,Sportif
Feature,Point,-73.656468079,45.5484412141,70,073-0011-76-S1,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.6570887193,45.5486277703,71,073-0011-76-S2,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.7094699466,45.5362733463,72,073-0017-76-S1,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.6013025853,45.5575329124,73,004-0455,0947-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.7090376308,45.536006629,74,073-0017-76-S2,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.5941019916,45.5396509552,75,073-0027-76-S2,0126-000,Soccer sous-terrain à 7,Rosemont-La Petite-Patrie,Sportif
Feature,Point,-73.6297575275,45.5343390971,76,073-0030-76-S2,0401-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6410790379,45.5637795575,77,073-0035-76-S1,0950-440,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6094805355,45.5164802184,78,073-0037-76-S1,2601-000,Soccer sous-terrain à 7,Outremont,Sportif
Feature,Point,-73.5799904348,45.5057034427,79,073-0038-76-S1,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
Feature,Point,-73.5796688177,45.5059908936,80,073-0038-76-S2,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
Feature,Point,-73.8826831499,45.4576343158,81,073-0046-76-S1,2675-000,Soccer sous-terrain à 7,Pierrefonds-Roxboro,Sportif
Feature,Point,-73.8848636863,45.4870854186,82,073-0050-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
Feature,Point,-73.8843571797,45.4873684285,83,073-0050-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
Feature,Point,-73.8822668059,45.4869400392,84,073-0051-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
Feature,Point,-73.651403981,45.4658686305,85,073-0055-76-S1,0156-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
Feature,Point,-73.5580914312,45.4554300314,86,073-0062-76-S1,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
Feature,Point,-73.5570804994,45.455982818,87,073-0063-76-S2,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
Feature,Point,-73.5846119041,45.447490173,88,073-0064-76-S1,2895-000,Soccer sous-terrain à 7,Verdun,Sportif
Feature,Point,-73.5444085598,45.6658783845,89,073-0077-76-S2,1192-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5181689473,45.690233835,90,073-0079-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5180671963,45.6910455485,91,073-0080-76-S1, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.5183650058,45.6914749999,92,073-0080-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.6225780377,45.6156638382,93,073-0086-76-S1,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
Feature,Point,-73.6221064035,45.6159102853,94,073-0086-76-S2,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
Feature,Point,-73.5296270423,45.550501838,95,073-0094-76-S1,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
Feature,Point,-73.5299216504,45.5500529943,96,073-0094-76-S2,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
Feature,Point,-73.6091463163,45.5157943708,97,018-0055,2601-000,Basketball,Outremont,Récréatif
Feature,Point,-73.6661039919,45.4437557469,98,073-0024-75-S2, ,Soccer sous-terrain à 4-5,Lachine,Sportif
Feature,Point,-73.6664936112,45.4438797948,99,073-0024-75-S3, ,Soccer sous-terrain à 4-5,Lachine,Sportif
Feature,Point,-73.556726458,45.602130962,100,076-0141-75-S1,2009-000,Soccer sous-terrain à 4-5,Anjou,Sportif
Feature,Point,-73.6764792717,45.517217889,101,074-0002-76-S2, ,Soccer sous-terrain à 7,Saint-Laurent,Sportif
Feature,Point,-73.6769333803,45.5388355179,102,074-0005-76-S2,1860-012,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.6568994837,45.5684486194,103,074-0006-76-S2, ,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.6346435033,45.5536654186,104,074-0007-76-S1,0424-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
